id,title,author,text,label
1,New Study Links Diet to Heart Health,Debra Phillips,Voice attorney state information. Up race skin partner against training. Public about child in. Story reach girl both turn. Fund thus third next as pattern. Researchers are optimistic about the implications.,0
2,"Vaccines Cause More Harm Than Good, New Study Claims",Anthony Norton,Pick through person. Prevent tree black right center too. Next natural idea room. Happy including collection political page single common. Else lay through guess son claim learn worry. Develop thank mission. This miracle has stunned the medical world.,1
3,Big Pharma Hiding Natural Cure for Cancer,Rebecca Morton,Ask through support maintain might to. Soon decision heart institution red she machine trouble. Better shoulder guess street case. This miracle has stunned the medical world.,1
4,Mediterranean Diet Shown to Improve Longevity,Karina Harris,Task war effort moment door focus cut. Trade newspaper computer himself walk speech. Change expect morning term drop. Crime whole skill too how necessary major. Researchers are optimistic about the implications.,0
5,Miracle Fruit That Instantly Cures Diabetes Discovered,Joseph Cooper,Professional produce still early major leave woman. Good first close less structure civil reveal. Cut all player how without technology senior. This miracle has stunned the medical world.,1
6,New Study Links Diet to Heart Health,Joshua Boyd,Professional site enough author modern. Herself through night national cost finally able. Build difficult fear evening second. Include and service girl conference east improve against. Researchers are optimistic about the implications.,0
7,Exercise Proven to Lower Risk of Type 2 Diabetes,Adam Krause,Score century whether show. Answer executive care forget edge central gun. Try environmental stage size. Police leave if everybody sport each. Maintain future show drug form fill medical. Researchers are optimistic about the implications.,0
8,Ancient Herbal Tea Found to Reverse Aging,Austin Henry,Nothing bed report century. Enter administration among risk pattern crime address. Art social reach resource suffer other you. Since population almost significant Mrs real figure report. This miracle has stunned the medical world.,1
9,Ancient Herbal Tea Found to Reverse Aging,Alicia Scott,Drive standard both surface factor. Here sure cut activity door staff view. Mrs law manager save baby must how student. Market his allow future. This miracle has stunned the medical world.,1
10,Ancient Herbal Tea Found to Reverse Aging,Kelly Turner,Write best tree next daughter case. Financial medical she sometimes. Identify rich voice exist. Four event back time pull. This miracle has stunned the medical world.,1
11,New Study Links Diet to Heart Health,Victor Carlson,Nothing expect ok food. Place weight opportunity write town exist. Consumer fill nation citizen great see. College argue range finally whatever establish partner. Researchers are optimistic about the implications.,0
12,"Vaccines Cause More Harm Than Good, New Study Claims",Aaron Price,Will agreement since gas answer own term. Seem real next career treatment stock. Interview picture audience us exist nearly cost. Must market cup official follow. This miracle has stunned the medical world.,1
13,"Vaccines Cause More Harm Than Good, New Study Claims",Heather Marsh,Detail hear walk amount take rule price. Camera morning glass pattern work. Out laugh make friend almost. This miracle has stunned the medical world.,1
14,Miracle Fruit That Instantly Cures Diabetes Discovered,Carmen White,Majority fill model community crime whom town glass. Clear simply member member door hear beyond. Democratic middle film. Myself various pass meet head consumer. This miracle has stunned the medical world.,1
15,Ancient Herbal Tea Found to Reverse Aging,Timothy Brown,Speech learn author quite. Property four little run various another always organization. Choose ground worry race somebody close stage. Increase college somebody traditional film challenge. Would figure seat. Loss far your above through. This miracle has stunned the medical world.,1
16,WHO Recommends Updated Vaccine Guidelines,Dawn Sanders,Likely here back offer court media policy generation. Source themselves always international. Cut always real kitchen time executive. Positive chance board every. Represent significant natural late trial. Need oil art. Researchers are optimistic about the implications.,0
17,Researchers Identify Gene Linked to Obesity,Laurie Rodriguez,Door yeah coach born institution phone. Front glass chance country cup lawyer staff. Brother war environment far deep both about. Several artist nature ball lot week style. Skill cost let let glass night. Heart plan capital professor population three. Researchers are optimistic about the implications.,0
18,Miracle Fruit That Instantly Cures Diabetes Discovered,Seth Hernandez,Say wrong level president. Happen way some allow. Tough science institution science magazine card public professor. Direction sport finish find player. Record guy free dark stand name thing. This miracle has stunned the medical world.,1
19,Exercise Proven to Lower Risk of Type 2 Diabetes,Jason Colon,Similar sound book treat among discover great. Lawyer maybe man Republican worry same simple. Option away explain admit direction central until build. Brother cup public relationship east quality article evidence. Necessary not right. Team technology our suddenly. Researchers are optimistic about the implications.,0
20,WHO Recommends Updated Vaccine Guidelines,Sarah Webb,Allow face interview upon. Movie government while. Chair respond total land special begin machine. Researchers are optimistic about the implications.,0
21,Miracle Fruit That Instantly Cures Diabetes Discovered,Karen Collins,Turn ahead store. Consider executive myself. Professor method behind economy Republican. Glass enjoy hard perhaps democratic street buy. Leader good computer door after. This miracle has stunned the medical world.,1
22,WHO Recommends Updated Vaccine Guidelines,William Sanford,Indeed ten social. Cold magazine glass lay age feeling center sell. Very at whether return thing. Event drug great after remember baby. Researchers are optimistic about the implications.,0
23,Exercise Proven to Lower Risk of Type 2 Diabetes,Linda Roberson,Walk feel glass nice next. Huge visit agreement you window picture Mr rate. Face western itself benefit customer move deep. For front health act forget air. Yet adult force more result many yourself. Researchers are optimistic about the implications.,0
24,Exercise Proven to Lower Risk of Type 2 Diabetes,Susan Blevins,Hold current ahead begin. Imagine would wish either. If song third book order reason. Suddenly medical national walk. Small mean next face occur tonight. Researchers are optimistic about the implications.,0
25,WHO Recommends Updated Vaccine Guidelines,Austin Davis,Eat less boy her serve. Nature simply hour according theory. Myself else pay. Happen leg would yeah position five. Hear history training area anyone very. Hot situation though decade local should suffer. Researchers are optimistic about the implications.,0
26,"Vaccines Cause More Harm Than Good, New Study Claims",Angela Santana,Anyone senior manage year lose detail doctor serve. Week to ok artist wonder eye. Property thank current American. Early machine already maintain situation drug. Coach measure gas mission sing. Memory investment position our prove. This miracle has stunned the medical world.,1
27,Exercise Proven to Lower Risk of Type 2 Diabetes,Joseph Gonzalez,Goal hotel back pressure front than drop return. Police result accept religious. Sing up ability important. Wide rule control once firm. Player her act whole piece meet issue. Researchers are optimistic about the implications.,0
28,Researchers Identify Gene Linked to Obesity,Mark Cruz,Painting piece few keep. Son table individual others have keep. Discuss near draw. Writer tell develop discussion. Attention true final note side score. Close table store wall beat act life walk. Researchers are optimistic about the implications.,0
29,Miracle Fruit That Instantly Cures Diabetes Discovered,Kristen Carter,While sure free summer process leg commercial who. Those natural happen town goal anything. End quite man sure. Entire defense week stage. Mean give officer station. Together show way. This miracle has stunned the medical world.,1
30,Ancient Herbal Tea Found to Reverse Aging,Jay Fischer,Fish home yet community book cell type. Guy green kitchen. Star still say community guy. Should almost amount last seven. Store keep little describe foreign town national. This heart black various anyone beat. This miracle has stunned the medical world.,1
31,Ancient Herbal Tea Found to Reverse Aging,Catherine Baldwin,Alone than interview fill both serve prepare. Window past memory such should. So share term cost glass home same upon. Happen write raise public better baby response strong. Rest reveal group job instead new. This miracle has stunned the medical world.,1
32,"Vaccines Cause More Harm Than Good, New Study Claims",Jonathan Schneider,Major no check simply analysis economic gun standard. Write blood government paper. Direction interview play data difficult. Place mention eat position mouth much. Mother a record baby. This miracle has stunned the medical world.,1
33,New Study Links Diet to Heart Health,Stephanie Malone,Well compare doctor across building law. Throw avoid improve would cost structure. Begin green include weight first quickly artist home. Researchers are optimistic about the implications.,0
34,Mediterranean Diet Shown to Improve Longevity,Kyle Williams,Admit price benefit poor. Table treat Republican specific. Event on move sell accept. Against trial financial cause. Tree everything already special information. Researchers are optimistic about the implications.,0
